year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2012,Bolivia,ARG,Argentina,0,15.75,0,6,6,0,1,21.24,-1.54,0.043,0,1,385.1145,414.5583,354.5802,432.4739,355.3591,368.601,31.7931,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.32999992,1,5,0,,1,28,-1.919100046,0.576923013,0,0,344.76801,363.6199951,319.2200012,348.8200073,333.2399902,358.9400024,95.99359894,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3203,,3203,
2009,Bolivia,ARG,Argentina,0,15.92000008,1,,,1,1,45,-1.919100046,0.248649001,0,1,454.59399,505.3800049,411.1300049,425.9299927,492.9200134,437.6099854,63.44609833,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,16,0,2,4,1,1,71.39,-0.23,0.182,0,0,457.16623,466.6693,474.4586,441.7433,465.8903,437.0696,16.221,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,16.17000008,0,5,5,0,1,56,-1.604799986,0.286713004,0,0,288.99399,291.4899902,226.8300018,289.1499939,334.3299866,303.1700134,81.2940979,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2009,Bolivia,ARG,Argentina,1,16.07999992,1,5,0,0,1,23,-1.919100046,0.458128005,0,0,386.828,334.9500122,387.9200134,389.480011,376.230011,445.5599976,117.6095963,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,16.08,0,0,4,0,1,30.34,-0.73,0.571,0,1,364.08319,397.1101,348.0371,334.0162,388.5418,352.7107,23.2037,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.33,0,1,4,0,0,27.91,-0.57,0.127,0,1,466.66925,449.8442,493.4647,458.4125,451.4021,480.2228,20.6682,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.75,0,1,4,0,1,26.85,0.08,0.539,0,0,335.96353,321.3195,333.7825,333.7825,377.403,313.5301,17.3107,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.5,0,1,1,1,1,39.04,-0.4,0.56,0,0,360.11063,360.7338,359.9548,366.9653,352.9444,359.9548,130.7917,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3205,,,ARG0005
